Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3JA9Jsuxr4xgHXEawAdCp4,"Just Can’t Get Enough","The Beginning","Black Eyed Peas",2010-01-01,219426,83,false,1280011281,2014-08-07T23:15:42Z,"","A&M",0.659,0.629,0,-8.685,0,0.18,0.19,0,0.105,0.262,94.049,4
spotify:track:08Bfk5Y2S5fCxgxk371Eel,"S&M","Loud","Rihanna",2010-11-16,243533,50,true,1280011281,2014-08-07T23:15:46Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,85,false,1280011281,2014-08-07T23:15:47Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
spotify:track:51aGPWTJCHnRcwYZgxQ0Ym,"Price Tag","Who You Are","Jessie J;B.o.B",2011-01-01,222293,22,false,1280011281,2014-08-07T23:15:48Z,"","Lava Music/Republic Records",0.641,0.836,5,-3.952,1,0.196,0.0283,0.00000417,0.177,0.693,174.971,4
spotify:track:12lZTPlXwUtrQuhEty6098,"Raise Your Glass","Raise Your Glass","P!nk",2010-10-06,203333,7,true,1280011281,2014-08-07T23:15:55Z,"","LaFace Records",0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,4
spotify:track:0FC7X3BRdEJC8L4ZEUAv2Q,"Born This Way","Born This Way","Lady Gaga",2011-01-01,260466,0,false,1280011281,2014-08-07T23:15:56Z,"art pop,pop","Interscope",0.616,0.828,11,-4.736,1,0.133,0.00578,0,0.352,0.576,123.986,4
spotify:track:6uxYfENm7zw050dNUi031W,"The Edge Of Glory","Born This Way (Special Edition)","Lady Gaga",2011-01-01,320546,46,false,1280011281,2014-08-07T23:16:20Z,"art pop,pop","Interscope",0.583,0.771,9,-6.477,1,0.0412,0.000323,0.0163,0.109,0.358,127.955,4
spotify:track:2i0AUcEnsDm3dsqLrFWUCq,"Tonight Tonight","Whatever","Hot Chelle Rae",2011-11-25,200466,68,false,1280011281,2014-08-07T23:16:21Z,"","RCA Records Label",0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk;Pharrell Williams;Nile Rodgers",2013-04-19,247632,81,false,1280011281,2014-08-07T23:16:26Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
spotify:track:1DqdF42leyFIzqNDv9CjId,"Dynamite","Rokstarr","Taio Cruz",2010-01-01,203866,72,false,1280011281,2014-08-07T23:16:28Z,"","Universal-Island Records Ltd.",0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,4
spotify:track:09ZcYBGFX16X8GMDrvqQwt,"For the First Time","Science & Faith (US Version)","The Script",2011-01-18,252853,66,true,1280011281,2014-08-07T23:16:40Z,"","Phonogenic",0.396,0.629,9,-4.78,1,0.0287,0.0328,0,0.183,0.358,173.794,4
spotify:track:72gGeQ0dZ7E8RlBeNJNJkb,"The Monster","The Monster","Eminem;Rihanna",2013-01-01,250906,0,true,1280011281,2014-08-07T23:16:50Z,"rap,hip hop","Aftermath",0.785,0.86,9,-3.642,1,0.0794,0.0556,0,0.0675,0.623,110.048,4
spotify:track:6oDPg7fXW3Ug3KmbafrXzA,"Wrecking Ball","Wrecking Ball","Miley Cyrus",2013-08-25,223240,0,false,1280011281,2014-08-07T23:16:52Z,"","RCA Records Label",0.466,0.403,5,-6.142,1,0.0337,0.395,0,0.111,0.337,119.81,4
spotify:track:4G8gkOterJn0Ywt6uhqbhp,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,73,false,1280011281,2014-08-07T23:16:55Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
spotify:track:4h8VwCb1MTGoLKueQ1WgbD,"Wake Me Up","True","Avicii",2013-09-13,247426,9,false,1280011281,2014-08-07T23:16:59Z,"edm","Universal Music AB",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:5BSndweF91KDqyxANsZcQH,"Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,0,false,1280011281,2014-08-07T23:17:01Z,"folk pop,indie folk","Dualtone",0.685,0.466,0,-9.074,1,0.0304,0.794,0.00000206,0.0915,0.353,79.936,4
spotify:track:1yjY7rpaAQvKwpdUliHx0d,"Still into You","Paramore","Paramore",2013-04-05,216013,83,false,1280011281,2014-08-07T23:17:02Z,"pop punk,emo","Fueled By Ramen",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
spotify:track:4YMqbFcDIFiCBd02PzUBcM,"Thrift Shop (feat. Wanz)","The Heist","Macklemore & Ryan Lewis;Wanz",2012-10-10,235613,2,true,1280011281,2014-08-07T23:17:15Z,"g-funk,west coast hip hop","Macklemore",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
spotify:track:3kyxRga5wDGbKdmxXssbps,"I Will Wait","Babel (Deluxe Edition)","Mumford & Sons",2012-09-21,276720,0,false,1280011281,2014-08-07T23:17:22Z,"folk,indie folk,folk rock","Glassnote (Old)",0.485,0.735,1,-5.929,1,0.0334,0.01,0.00794,0.213,0.456,131.234,4
spotify:track:7oVEtyuv9NBmnytsCIsY5I,"BURN IT DOWN","LIVING THINGS","Linkin Park",2012-06-19,230253,81,false,1280011281,2014-08-07T23:17:26Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.585,0.972,9,-4.45,0,0.0534,0.0143,0,0.0707,0.585,110.006,4
spotify:track:3a2tuvXCHbW5nuUckuHkKT,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,52,false,1280011281,2014-08-07T23:17:30Z,"folk pop","Universal Records",0.445,0.757,1,-5.177,1,0.0322,0.0206,0,0.146,0.421,102.878,4
spotify:track:1VdZ0vKfR5jneCmWIUAMxK,"The A Team","+","Ed Sheeran",2011-09-09,258373,74,false,1280011281,2014-08-07T23:17:35Z,"soft pop","Atlantic Records UK",0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
spotify:track:77TT8Xvx637TpzV8kKGkUw,"Titanium (feat. Sia)","Nothing but the Beat","David Guetta;Sia",2011-08-31,245040,57,false,1280011281,2014-08-07T23:17:40Z,"edm","Parlophone (France)",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
spotify:track:7ueP5u2qkdZbIPN2YA6LR0,"Sail","Megalithic Symphony","AWOLNATION",2011-03-15,259093,76,false,1280011281,2014-08-07T23:17:41Z,"","Red Bull Records",0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,4
spotify:track:6WFQsZZa81anp9BkqZMyTb,"Wavin' Flag - Coca-Cola® Celebration Mix","Wavin' Flag (International Version Coca-Cola® Celebration Mix)","K'NAAN",2010-01-01,212506,54,false,1280011281,2014-08-07T23:18:20Z,"","Interscope Records*",0.583,0.791,0,-4.192,1,0.0644,0.309,0,0.0996,0.615,151.869,4
spotify:track:12lZTPlXwUtrQuhEty6098,"Raise Your Glass","Raise Your Glass","P!nk",2010-10-06,203333,7,true,1280011281,2014-08-07T23:19:05Z,"","LaFace Records",0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,4
spotify:track:3CjzNLQ0KoIINmGB7VklKb,"Only Girl (In The World)","Loud","Rihanna",2010-11-16,235493,0,false,1280011281,2014-08-07T23:19:08Z,"","Universal Music AS",0.784,0.716,11,-4.204,0,0.0421,0.12,0.00000826,0.133,0.649,125.926,4
spotify:track:14fmbvjYLqRZEXz1VZdM2M,"We Found Love","We Found Love","Rihanna;Calvin Harris",2011-09-22,215760,1,false,1280011281,2014-08-07T23:19:29Z,"edm","Universal Music Group",0.755,0.74,1,-4.951,1,0.0407,0.0225,0.00139,0.124,0.609,127.98,4
spotify:track:1Ntj0hZfncXCQ5hij7igIE,"Demons","Night Visions (Deluxe)","Imagine Dragons",2012-09-04,175200,67,false,1280011281,2014-08-07T23:21:42Z,"","Kid Ina Korner / Interscope",0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.329,0.419,89.929,4
spotify:track:6KuHjfXHkfnIjdmcIvt9r0,"On Top Of The World","Night Visions (Deluxe)","Imagine Dragons",2012-09-04,189840,68,false,1280011281,2014-08-07T23:21:44Z,"","Kid Ina Korner / Interscope",0.635,0.926,0,-5.589,1,0.15,0.0892,0.0000044,0.0928,0.771,100.043,4
spotify:track:6BtmXhTJMM9sBTHeYYASGz,"It's Time","Night Visions","Imagine Dragons",2012-09-04,237986,69,false,1280011281,2014-08-07T23:21:55Z,"","Kid Ina Korner / Interscope",0.656,0.884,2,-4.748,1,0.0372,0.016,0,0.145,0.858,105.009,4
