Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0RFocql5Sm3ruOdXTn4pvu,Pori Vaithu,Kuttram 23 (Original Motion Picture Soundtrack),Vishal Chandrashekhar;Vijay Prakash;Shweta Mohan,2016-09-01,269397,20,false,sanjnalnmurthi,2018-07-16T11:18:36Z,"tollywood,telugu pop,kollywood,tamil pop,kannada pop,sandalwood,mollywood,malayalam pop",Sony Music Entertainment India Pvt. Ltd.,0.626,0.546,7,-10.423,1,0.0562,0.675,0.000227,0.188,0.371,95.046,4
spotify:track:0RKOENYuywrtVw0dA05Uea,Vilangu,Kurangan Era,Kaber Vasuki,2019-08-31,201000,25,false,sanjnalnmurthi,2025-06-14T22:42:25Z,"tamil indie,tamil hip hop,indian indie,tamil pop",Green Bus Records,0.775,0.442,0,-9.974,1,0.133,0.57,0.694,0.1,0.557,159.975,4
spotify:track:0RZS71uyDP1ImrhpxYzpmN,Shape of You - Abheri - Shudha Dhanyasi - Adi Tala - Carnatic Mix,Shape of You,Aditya Rao;IndianRaga;Mahesh Raghvan;Vinod Krishnan,2021-05-27,170034,44,false,sanjnalnmurthi,2024-12-06T18:40:10Z,"tamil hip hop,tamil pop,kollywood,devotional,indian indie,tamil indie",IndianRaga,0.735,0.722,1,-8.373,0,0.0352,0.489,0,0.383,0.936,95.967,4
spotify:track:0Re7QUBo5IgN9lUXcuz2Uo,Hey Goodbye Nanba,A. R. Rahman - The Other Side,A.R. Rahman;Sunitha Sarathy;Shankar Mahadevan;Lucky Ali;Karthik,2004-01-03,297933,24,false,sanjnalnmurthi,2024-12-06T18:45:31Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,tollywood,tamil dance,tamil hip hop,marathi pop,devotional,bhajan,desi,desi pop,hindi indie,indian indie,telugu pop,kannada pop,malayalam pop,mollywood",Sony Music Entertainment India Pvt. Ltd.,0.635,0.527,2,-10.15,0,0.0358,0.0346,0.00942,0.119,0.138,119.977,4
spotify:track:0SSLKt27B0a71OqsPy0uoY,Siragugal,Sarvam,Yuvan Shankar Raja;Javed Ali;Madhushree,2009-02-14,325930,0,false,kavya1287,2020-03-02T04:55:11Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop",Eros Ayangaran,0.642,0.911,10,-3.322,0,0.156,0.216,0.000148,0.102,0.61,170.015,4
spotify:track:0T6V0zYOaT14dT0YkEwxea,"Mazhaiye Mazhaiye (From ""Eeram"")",My Playlist: Thaman,Thaman S;Ranjith Govind;Viveka,2014-03-07,249973,42,false,sanjnalnmurthi,2018-07-16T11:18:36Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,kannada pop",Sony Music Entertainment India Pvt. Ltd.,0.784,0.631,0,-9.952,0,0.0429,0.452,0.0163,0.175,0.729,100.01,4
spotify:track:0T6z2mf5tb3kv208JXgPj9,Nangaai,Engeyum Kadhal (Original Motion Picture Soundtrack),Harris Jayaraj;Richard;Rahul Nambiar;Naveen Madhav;Vaali,2010-11-11,277813,58,false,kavya1287,2020-03-02T04:57:04Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop",Sony Music Entertainment India Pvt. Ltd.,0.928,0.661,2,-7.341,1,0.0464,0.165,0.00104,0.338,0.584,129.029,4
spotify:track:0TCWa3rG56suAbLxAJUeRH,"Adadada Arrambame (From ""Arrambam"")",Playback: Justu Kuthu - Best Tamil Folk Songs,Yuvan Shankar Raja;Shankar Mahadevan,2015-02-12,227000,9,false,kavya1287,2020-03-02T05:05:35Z,"tamil pop,kollywood,tamil dance,tamil hip hop,marathi pop,bollywood,devotional,bhajan,desi,hindi pop",Sony Music Entertainment India Pvt. Ltd.,0.648,0.749,5,-7.734,0,0.191,0.0175,0.0000143,0.0413,0.682,150.027,4
spotify:track:0TKh7b5rpmvydOl9FvSyXL,Nahna Na Nah,Biriyani (Original Motion Picture Soundtrack),Yuvan Shankar Raja;Devan Ekambaram,2013-08-21,267640,48,false,sanjnalnmurthi,2023-01-30T11:05:14Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.803,0.594,8,-6.202,1,0.0381,0.223,0.00387,0.0767,0.593,92.007,4
spotify:track:0TRV8DGlkEfVbTSm5byqsN,Yennachu Yedhachu,Trisha Illana Nayanthara (Original Motion Picture Soundtrack),G. V. Prakash;Saindhavi;Kalyani Nair;Kabilan,2015-06-04,318996,58,false,kavya1287,2020-03-02T05:08:21Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,devotional,bhajan",Sony Music Entertainment India Pvt. Ltd.,0.615,0.639,5,-6.242,0,0.213,0.401,0.000597,0.129,0.548,179.858,4
spotify:track:0Tm5ER6IrGfmW0yZ5lkQli,Rowdy Baby,Rowdy Baby (From 'Maari 2' Original Motion Picture Soundtrack),Yuvan Shankar Raja;Dhanush;Dhee,2018-11-28,281440,0,false,sanjnalnmurthi,2023-01-30T11:04:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",VMS Music Records And Publishing Sdn Bhd,0.67,0.702,10,-8.192,0,0.2,0.284,0.00295,0.16,0.584,176.991,3
