Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:102YVYHLNfgkfQP3qvDqsD,"Koodamela Koodavechi","Rummy (Original Motion Picture Soundtrack)","D. Imman;VV Prassanna;Vandana Srinivasan;Yugabharathi",2013-10-25,300373,66,false,kavya1287,2020-03-02T04:51:42Z,"tamil pop,tamil dance,kollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.694,0.695,4,-5.035,0,0.0276,0.324,0,0.177,0.668,120.057,4
spotify:track:22yJTeCvdHMX7iEjJv4OrM,"Oodhaa Kalaru","Varuthapadatha Vaalibar Sangam (Original Motion Picture Soundtrack)","D. Imman;Harihara Sudhan",2013-07-15,282640,47,false,kavya1287,2020-03-02T04:51:52Z,"tamil pop,tamil dance,kollywood,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.526,0.766,7,-5.087,1,0.246,0.352,0,0.042,0.808,83.611,4
spotify:track:5GUM2uDH9Ey4aSvKz1lIdG,"Darling Dambakku","Maan Karate (Original Motion Picture Soundtrack)","Anirudh Ravichander;Benny Dayal;Sunidhi Chauhan",2014-03-16,249985,52,false,kavya1287,2020-03-02T04:52:04Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.736,0.942,5,-4.46,1,0.185,0.341,0.0000942,0.192,0.944,120.157,4
spotify:track:4gU2AKenBTMnvfaYv5OvX1,"","Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja","",2013-07-23,0,0,false,kavya1287,2020-03-02T04:52:43Z,"","Five Star Audio",0.632,0.655,2,-13.015,1,0.0388,0.0548,0.0000144,0.218,0.527,89.993,4
spotify:track:1oSG2DaOa66W0tDhEo12ro,"Thayya Thayya (From ""Uyire"")","Hits of A.R.Rahman Isai Saral","Hariharan;Srinivas",2013-12-29,254292,34,false,kavya1287,2020-03-02T04:52:55Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,tollywood,malayalam pop","New Music",0.648,0.593,4,-15.789,0,0.299,0.0446,0,0.277,0.387,179.883,4
spotify:track:4nHey6mAjKfAzCduSrfbkA,"Omana Penne (From ""Vinnathaandi Varuvaayaa"")","Biggest Hits of Rahman","A.R. Rahman;Benny Dayal;Kalyani Menon;Thamarai",2014-01-03,332586,20,false,kavya1287,2020-03-02T04:53:02Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,malayalam pop","Sony Music Entertainment India Pvt. Ltd.",0.69,0.728,5,-7.564,1,0.0486,0.335,0.0834,0.0546,0.664,87.02,4
spotify:track:19vjTI9yNKyyftDRHhBcMy,"Hosanna (From ""Vinnathaandi Varuvaayaa"")","Biggest Hits of Rahman","A.R. Rahman;Vijay Prakash;Suzanne D'Mello;Blaaze;Thamarai",2014-01-03,330546,20,false,kavya1287,2020-03-02T04:53:13Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,kannada pop,sandalwood,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.582,0.812,7,-6.147,1,0.0418,0.166,0.00162,0.0407,0.7,86.051,4
spotify:track:2VIa9AzgvoP0bSC7uKQtvF,"Nenjukkule (From ""Kadal"")","Biggest Hits of Rahman","A.R. Rahman;Shakthisree Gopalan;Vairamuthu",2014-01-03,290000,27,false,kavya1287,2020-03-02T04:53:25Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.473,0.4,7,-8.224,1,0.0311,0.699,0.0000127,0.132,0.259,154.04,3
spotify:track:6vZj02bcQqLTYRAi4jRkw7,"Munbe Vaa","Silunu Oru Kadhal","A.R. Rahman;Shreya Ghoshal;Naresh Iyer",2006-08-02,356941,0,false,kavya1287,2020-03-02T04:53:35Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop,tollywood,telugu pop","Eros Ayangaran",0.609,0.759,10,-9.422,0,0.0336,0.245,0.0000284,0.207,0.802,141.126,4
spotify:track:1nIKu3frmTmAoeMb2vCzkg,"New York","Silunu Oru Kadhal","A.R. Rahman",2006-08-02,378240,0,false,kavya1287,2020-03-02T04:53:44Z,"tamil pop,kollywood,sufi,bollywood,hindi pop","Eros Ayangaran",0.654,0.726,0,-8.594,1,0.0276,0.22,0.000406,0.0743,0.583,127.031,4
spotify:track:2EczaQy6yAZ0K7w6imRMto,"Saroja Saman Nikolo (From ""Chennai-600028"")","Hits of Yuvan Shankar Raja, Vol.2","Shankar Mahadevan;Premgi Amaren",2013-07-01,253986,45,false,kavya1287,2020-03-02T04:54:36Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance,hindi pop,kollywood,tamil pop,tamil hip hop","Five Star Audio",0.702,0.87,0,-8.72,0,0.0877,0.146,0.00000119,0.279,0.808,80.01,4
spotify:track:0SSLKt27B0a71OqsPy0uoY,"Siragugal","Sarvam","Yuvan Shankar Raja;Javed Ali;Madhushree",2009-02-14,325930,0,false,kavya1287,2020-03-02T04:55:11Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop","Eros Ayangaran",0.642,0.911,10,-3.322,0,0.156,0.216,0.000148,0.102,0.61,170.015,4
spotify:track:4I91lJWD0Fgbo1KQ0vHJlS,"Ammadi Aathadi","Vallavan (Original Motion Picture Soundtrack)","Silambarasan TR;T. Rajendar;Suchitra;Mahathi",2006-06-01,326069,0,false,kavya1287,2020-03-02T04:55:39Z,"tamil dance,tamil pop,kollywood,tamil hip hop,telugu pop,tollywood","Eros Ayangaran",0.732,0.823,10,-7.724,0,0.245,0.377,0.0000718,0.0929,0.681,160.193,4
spotify:track:1A3V5KsalUFXI71DWWF0sI,"Balle Lakka","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Karthik;Vijay Yesudas;Anusha Dhayanidhi",2011-08-10,323026,52,false,kavya1287,2020-03-02T04:55:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.906,0.879,11,-6.651,0,0.0485,0.168,0.148,0.0823,0.852,119.982,4
spotify:track:6YcBBZVKYYRirfeAt6BeGA,"Machi Open the Bottle","Mankatha (Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Mano;Premgi Amaren;Tippu;Haricharan;Naveen Madhav;Vaali",2011-08-10,287213,62,false,kavya1287,2020-03-02T04:56:17Z,"tamil pop,kollywood,tamil dance,tamil hip hop,kannada pop,telugu pop,tollywood,sandalwood,mollywood,malayalam pop","Sony Music Entertainment India Pvt. Ltd.",0.485,0.92,5,-6.243,1,0.277,0.664,0.000339,0.216,0.767,169.944,4
spotify:track:25SOVnk2agskqzqeKPcx2Q,"Ennamo Yeadho","KO (Original Motion Picture Soundtrack)","Harris Jayaraj;Aalaap Raju;Prashanthini;Emcee Jesz;Sri Charan;Madhan Karky",2011-01-18,336013,62,false,kavya1287,2020-03-02T04:56:27Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,tamil hip hop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.793,0.571,7,-6.289,0,0.0341,0.0439,0.000215,0.193,0.692,90.986,4
spotify:track:2YoPh281gD3xPnTkojVSr3,"Adiyae Kolluthey","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj;Krishh;Benny Dayal;Shruti Haasan;Thamarai",2008-10-08,315546,66,false,kavya1287,2020-03-02T04:56:39Z,"tamil pop,kollywood,tamil dance,telugu pop,bollywood,desi,hindi pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.719,0.645,2,-7.017,1,0.0343,0.171,0.0000112,0.0934,0.711,118.983,4
spotify:track:0T6z2mf5tb3kv208JXgPj9,"Nangaai","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj;Richard;Rahul Nambiar;Naveen Madhav;Vaali",2010-11-11,277813,58,false,kavya1287,2020-03-02T04:57:04Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.928,0.661,2,-7.341,1,0.0464,0.165,0.00104,0.338,0.584,129.029,4
spotify:track:7yOB0xjipPQDlcGj5PWo7I,"Roja Kadale","Anegan (Original Motion Picture Soundtrack)","Harris Jayaraj;Shankar Mahadevan;Sunidhi Chauhan;Chinmayi;Vairamuthu",2014-11-10,320853,63,false,kavya1287,2020-03-02T04:57:42Z,"tamil pop,kollywood,tamil dance,marathi pop,bollywood,devotional,bhajan,desi,hindi pop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.734,0.9,11,-4.69,0,0.165,0.0904,0.00000474,0.321,0.826,142.018,4
spotify:track:3JXi13LlcYzagKRNokd3Zt,"Aathadi Aathadi","Anegan (Original Motion Picture Soundtrack)","Harris Jayaraj;Bhavatharini;Tippu;Dhanush;Abhay Jodhpurkar;Vairamuthu",2014-11-10,352426,63,false,kavya1287,2020-03-02T04:57:49Z,"tamil pop,kollywood,tamil dance,kannada pop,telugu pop,tollywood,sandalwood,bollywood,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.753,0.449,7,-7.631,1,0.0288,0.347,0,0.219,0.557,134.891,3
spotify:track:4HDzsx1dJKbuL0YkffBuBm,"Thodu Vaanam","Anegan (Original Motion Picture Soundtrack)","Harris Jayaraj;Hariharan;Shakthisree Gopalan;Vairamuthu",2014-11-10,315213,64,false,kavya1287,2020-03-02T04:57:57Z,"tamil pop,kollywood,tamil dance,bhajan,ghazal,devotional,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.628,0.551,0,-6.841,0,0.0612,0.394,0,0.178,0.385,136.899,4
spotify:track:0A8KUMaNSvm7RMJRonDNrM,"Deivangal Ingae","Anegan (Original Motion Picture Soundtrack)","Harris Jayaraj;Sriram Parthasarathy",2014-11-10,210560,34,false,kavya1287,2020-03-02T04:58:09Z,"tamil pop,kollywood,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.623,0.725,1,-6.934,0,0.0334,0.0161,0.0000565,0.088,0.519,92.939,4
spotify:track:0ew71PqPi7ehntkabL9W4c,"Yethi Yethi","Vaaranam Aayiram (Original Motion Picture Soundtrack)","Harris Jayaraj;Benny Dayal;Naresh Iyer;Solar Sai",2008-10-08,293866,66,false,kavya1287,2020-03-02T04:58:28Z,"tamil pop,kollywood,tamil dance,bollywood,desi,hindi pop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.941,0.771,10,-7.002,0,0.0919,0.0656,0,0.131,0.59,104.501,4
spotify:track:3AveuWMomOOs92pmWeXZLZ,"Naan Romba","Siruthai (Original Motion Picture Soundtrack)","Ranjith Govind;Vidyasagar;Na.Muthukumar",2010-12-20,245933,0,false,kavya1287,2020-03-02T04:58:54Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood,malayalam pop,mollywood","VENUS WORLDWIDE ENTERTAINMENT PRIVATE LIMITED",0.777,0.928,4,-4.1,0,0.206,0.148,0,0.292,0.954,130.054,4
spotify:track:2F02elQwsR4uOkVQVRhsms,"Kadhal Kan Kattudhe","Kaaki Sattai (Original Motion Picture Soundtrack)","Anirudh Ravichander;Shakthisree Gopalan",2014-12-12,256734,0,false,kavya1287,2020-03-02T04:59:07Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Wunderbar Studios - Divo",0.418,0.544,2,-4.935,0,0.0338,0.565,0,0.134,0.5,139.641,3
spotify:track:7rU7uLC3OCfxCe7Hhh6FXj,"Netru Aval Irundhaal","Maryan (Original Motion Picture Soundtrack)","A.R. Rahman;Chinmayi;Vijay Prakash",2013-05-13,298626,55,false,kavya1287,2020-03-02T04:59:16Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,tollywood,marathi pop,telugu pop,kannada pop,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.377,0.271,7,-13.725,1,0.029,0.869,0.0000144,0.0887,0.172,79.743,3
spotify:track:4LIJn3SG7mCCNKQc6vyy5S,"Yaaro Ivan","Udhayam NH4 (Original Motion Picture Soundtrack)","G. V. Prakash;Saindhavi;Na.Muthukumar",2013-04-03,283906,58,false,kavya1287,2020-03-02T04:59:23Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,devotional,bhajan","Sony Music Entertainment India Pvt. Ltd.",0.699,0.496,1,-7.88,0,0.0479,0.74,0.000347,0.112,0.75,82.008,4
spotify:track:6TkoYQ3PuGdEMjyhBfSTf2,"Po Indru Neeyaga (The Love of Raghuvaran)","Velai Illa Pattadhaari","Anirudh Ravichander;Dhanush",2014-02-14,223326,0,false,kavya1287,2020-03-02T04:59:28Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Wunderbar Studios - Divo",0.489,0.595,3,-3.788,0,0.0273,0.262,0,0.0813,0.459,144.859,3
spotify:track:5fqsWynhQRpoIVeRfRu4yQ,"Un Vizhigalil","Maan Karate (Original Motion Picture Soundtrack)","Anirudh Ravichander;Shruti Haasan;R.D. Raja",2014-03-16,243520,58,false,kavya1287,2020-03-02T04:59:35Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.502,0.625,0,-5.631,1,0.0309,0.379,0,0.198,0.442,80.217,4
spotify:track:2HOYjQd1Znu5vORQ0grHjh,"Ek Do Teen","Anjaan (Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Suriya;Andrea Jeremiah",2014-07-25,237333,54,false,kavya1287,2020-03-02T04:59:42Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.62,0.672,10,-5.859,0,0.0362,0.0604,0.0000254,0.0684,0.719,67.54,4
spotify:track:5dQR15IPbFDhTVwjfZgqR0,"Vaadi Pulla Vaadi","Vaadi Pulla Vaadi","Hiphop Tamizha",2014-08-15,246700,57,false,kavya1287,2020-03-02T04:59:50Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Hiphop Tamizha",0.473,0.941,9,-5.431,1,0.062,0.342,0.0000892,0.275,0.303,180.195,4
spotify:track:5Toj8uGqy5Tyb6nXxPU3RD,"Aaromale","Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack)","A.R. Rahman;Alphons Joseph",2010-01-11,346160,46,false,kavya1287,2020-03-02T05:00:17Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.636,0.67,9,-6.693,1,0.0307,0.128,0.00401,0.104,0.522,140.092,4
spotify:track:3yzG1rkCOieELsPAPj6x8f,"Ale Ale","Boys","A.R. Rahman;Karthik;Chitra Sivaraman",2003-06-28,385786,0,false,kavya1287,2020-03-02T05:00:48Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,tamil dance","Eros Ayangaran",0.658,0.728,10,-7.765,0,0.121,0.0205,0.0000015,0.0848,0.67,86.978,4
